IN_LOCAL_FUNC_SALAS_OUTRA_ESC;IN_ESGOTO_REDE_PUBLICA;IN_ESGOTO_INEXISTENTE;IN_SALA_DIRETORIA;IN_LABORATORIO_INFORMATICA;IN_BANHEIRO_DENTRO_PREDIO;IN_SECRETARIA;IN_AUDITORIO;IN_LAVANDERIA;IN_EQUIP_TV;IN_EQUIP_COPIADORA;IN_EQUIP_IMPRESSORA;IN_BANDA_LARGA;IN_EDUCACAO_INDIGENA;IN_COMUM_EJA_FUND;TX_RESP_Q004_C;TX_RESP_Q015_A;TX_RESP_Q034_A;TX_RESP_Q041_C;TX_RESP_Q056_C
0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.05128205128205128;0.0;0.07537688442211055;0.13953488372093023;0.08695652173913043
0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0695970695970696;0.0;0.15075376884422112;0.023255813953488372;0.0
1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.336996336996337;0.16666666666666666;0.4170854271356784;0.23255813953488372;0.08695652173913043
1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.304029304029304;1.0;0.4623115577889447;0.3488372093023256;0.17391304347826086
1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.4065934065934066;0.5833333333333333;0.5276381909547738;0.11627906976744186;0.043478260869565216
0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.10256410256410256;0.25;0.1206030150753769;0.046511627906976744;0.08695652173913043
1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.1684981684981685;0.16666666666666666;0.2562814070351759;0.20930232558139533;0.0
1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0695970695970696;0.0;0.14572864321608042;0.09302325581395349;0.08695652173913043
0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.047619047619047616;0.0;0.06532663316582915;0.09302325581395349;0.043478260869565216
0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.21245421245421245;0.0;0.19095477386934676;0.18604651162790697;0.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.1575091575091575;0.0;0.22110552763819097;0.20930232558139533;0.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.1391941391941392;0.08333333333333333;0.21608040201005027;0.20930232558139533;0.043478260869565216
1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.1684981684981685;0.0;0.20100502512562815;0.23255813953488372;0.043478260869565216
0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.13553113553113552;0.08333333333333333;0.16080402010050251;0.046511627906976744;0.0
0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.13186813186813187;0.0;0.1256281407035176;0.13953488372093023;0.0
1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.4249084249084249;0.6666666666666666;0.5628140703517588;1.0;0.3913043478260869
0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.14285714285714285;0.0;0.15577889447236182;0.3488372093023256;0.21739130434782608
0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.14652014652014653;0.08333333333333333;0.19597989949748745;0.3488372093023256;0.043478260869565216
0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.1282051282051282;0.08333333333333333;0.11055276381909547;0.09302325581395349;0.043478260869565216
1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.1684981684981685;0.16666666666666666;0.14572864321608042;0.023255813953488372;0.08695652173913043
0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.08424908424908426;0.08333333333333333;0.1306532663316583;0.06976744186046512;0.08695652173913043
0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.42124542124542125;0.5;0.5527638190954773;0.627906976744186;0.21739130434782608
