IN_AUDITORIO;IN_PATIO_COBERTO;NU_EQUIP_IMPRESSORA;NU_EQUIP_MULTIMIDIA;IN_EJA;IN_COMUM_EJA_MEDIO;TX_RESP_Q004_C;TX_RESP_Q004_F;TX_RESP_Q004_G;TX_RESP_Q004_H;TX_RESP_Q013_C;TX_RESP_Q018_B;TX_RESP_Q019_F;TX_RESP_Q023_F;TX_RESP_Q041_C;TX_RESP_Q042_B;TX_RESP_Q042_C
0.0;0.0;0.0;0.0;1.0;1.0;0.13186813186813187;0.3488372093023256;0.25;0.16129032258064516;0.07547169811320754;0.16470588235294117;0.13095238095238093;0.16279069767441862;0.3488372093023256;0.09090909090909091;0.11764705882352941
0.0;1.0;0.3333333333333333;0.0625;1.0;1.0;0.047619047619047616;0.13953488372093023;0.0625;0.1935483870967742;0.018867924528301886;0.12941176470588234;0.011904761904761904;0.023255813953488372;0.18604651162790697;0.09090909090909091;0.29411764705882354
1.0;0.0;0.16666666666666666;0.5625;0.0;0.0;0.36996336996337;0.4418604651162791;0.625;0.4193548387096774;0.05660377358490566;0.5411764705882353;0.17857142857142855;0.11627906976744186;0.7674418604651163;0.5636363636363636;0.6470588235294118
1.0;0.0;0.16666666666666666;0.0;0.0;0.0;0.06593406593406594;0.09302325581395349;0.0625;0.16129032258064516;0.018867924528301886;0.11764705882352941;0.0;0.0;0.11627906976744186;0.14545454545454545;0.058823529411764705
0.0;1.0;0.0;0.125;1.0;1.0;0.14285714285714285;0.23255813953488372;0.1875;0.29032258064516125;0.07547169811320754;0.23529411764705882;0.10714285714285714;0.046511627906976744;0.3023255813953488;0.19999999999999998;0.1764705882352941
0.0;1.0;0.0;0.1875;0.0;0.0;0.08424908424908426;0.0;0.0;0.1935483870967742;0.018867924528301886;0.18823529411764706;0.03571428571428571;0.0;0.11627906976744186;0.21818181818181817;0.058823529411764705
1.0;0.0;0.0;0.0;0.0;0.0;0.11721611721611722;0.23255813953488372;0.3125;0.0;0.1509433962264151;0.10588235294117647;0.05952380952380952;0.023255813953488372;0.4418604651162791;0.12727272727272726;0.1764705882352941
1.0;1.0;0.0;0.0;1.0;1.0;0.08058608058608059;0.27906976744186046;0.5;0.3225806451612903;0.03773584905660377;0.29411764705882354;0.011904761904761904;0.046511627906976744;0.5116279069767442;0.2545454545454545;0.1764705882352941
0.0;0.0;0.0;0.0625;0.0;0.0;0.0989010989010989;0.3953488372093023;0.5;0.3548387096774194;0.05660377358490566;0.38823529411764707;0.07142857142857142;0.13953488372093023;0.4883720930232558;0.3090909090909091;0.4117647058823529
0.0;1.0;0.0;0.0;0.0;0.0;0.029304029304029304;0.13953488372093023;0.0625;0.29032258064516125;0.018867924528301886;0.16470588235294117;0.011904761904761904;0.023255813953488372;0.3023255813953488;0.14545454545454545;0.5882352941176471
0.0;0.0;0.0;0.0;1.0;1.0;0.018315018315018316;0.0;0.0;0.03225806451612903;0.018867924528301886;0.03529411764705882;0.0;0.0;0.023255813953488372;0.03636363636363636;0.058823529411764705
1.0;0.0;0.0;0.0;1.0;1.0;0.07692307692307693;0.13953488372093023;0.1875;0.0967741935483871;0.018867924528301886;0.23529411764705882;0.047619047619047616;0.023255813953488372;0.3023255813953488;0.2545454545454545;0.1764705882352941
0.0;1.0;0.0;0.0;1.0;1.0;0.06593406593406594;0.06976744186046512;0.0625;0.3548387096774194;0.05660377358490566;0.2588235294117647;0.03571428571428571;0.046511627906976744;0.20930232558139533;0.21818181818181817;0.29411764705882354
0.0;1.0;0.0;0.0625;0.0;0.0;0.1684981684981685;0.20930232558139533;0.3125;0.25806451612903225;0.09433962264150943;0.38823529411764707;0.09523809523809523;0.09302325581395349;0.37209302325581395;0.2909090909090909;0.3529411764705882
0.0;1.0;0.8333333333333333;0.0625;1.0;1.0;0.23076923076923078;0.6046511627906976;0.75;0.4838709677419355;0.16981132075471697;0.5529411764705883;0.08333333333333333;0.046511627906976744;0.8837209302325582;0.6;0.5882352941176471
0.0;1.0;0.0;0.0625;1.0;1.0;0.14285714285714285;0.046511627906976744;0.3125;0.06451612903225806;0.05660377358490566;0.21176470588235294;0.11904761904761904;0.046511627906976744;0.23255813953488372;0.21818181818181817;0.29411764705882354
0.0;0.0;0.0;0.0;1.0;1.0;0.11721611721611722;0.11627906976744186;0.0;0.03225806451612903;0.018867924528301886;0.11764705882352941;0.09523809523809523;0.046511627906976744;0.13953488372093023;0.05454545454545454;0.058823529411764705
1.0;0.0;0.16666666666666666;0.0625;1.0;1.0;0.15384615384615385;0.16279069767441862;0.5625;0.29032258064516125;0.018867924528301886;0.2823529411764706;0.05952380952380952;0.06976744186046512;0.16279069767441862;0.2727272727272727;0.23529411764705882
1.0;0.0;0.0;0.125;0.0;0.0;0.09523809523809523;0.3023255813953488;0.4375;0.5483870967741935;0.09433962264150943;0.3411764705882353;0.05952380952380952;0.11627906976744186;0.3488372093023256;0.3818181818181818;0.23529411764705882
0.0;1.0;0.0;0.125;1.0;1.0;0.20146520146520147;0.046511627906976744;0.375;0.0967741935483871;0.05660377358490566;0.16470588235294117;0.14285714285714285;0.023255813953488372;0.3023255813953488;0.10909090909090909;0.1764705882352941
0.0;0.0;0.3333333333333333;0.125;1.0;1.0;0.021978021978021976;0.0;0.0625;0.0;0.0;0.058823529411764705;0.0;0.0;0.0;0.01818181818181818;0.0
