NU_FUNCIONARIOS;IN_EJA;IN_COMUM_FUND_AF;TX_RESP_Q002_A;TX_RESP_Q004_C;TX_RESP_Q004_E;TX_RESP_Q004_F;TX_RESP_Q004_G;TX_RESP_Q004_H;TX_RESP_Q012_B;TX_RESP_Q013_A;TX_RESP_Q013_C;TX_RESP_Q014_C;TX_RESP_Q015_B;TX_RESP_Q018_B;TX_RESP_Q019_F;TX_RESP_Q019_G;TX_RESP_Q023_G;TX_RESP_Q034_A;TX_RESP_Q036_C;TX_RESP_Q036_E;TX_RESP_Q037_D;TX_RESP_Q038_A;TX_RESP_Q041_A;TX_RESP_Q041_B;TX_RESP_Q041_C;TX_RESP_Q042_B;TX_RESP_Q042_C;TX_RESP_Q043_A;TX_RESP_Q043_B
0.09401709401709404;0.0;0.0;0.21238938053097345;0.26519337016574585;0.15151515151515152;0.15625;0.0;0.0;0.13664596273291924;0.25;0.07936507936507936;0.14;0.09375;0.08771929824561403;0.12244897959183673;0.15789473684210525;0.13333333333333336;0.23026315789473684;0.13043478260869565;0.1111111111111111;0.11666666666666667;0.008130081300813009;0.219435736677116;0.16964285714285712;0.12;0.10526315789473684;0.0;0.09259259259259259;0.20149253731343283
0.05555555555555556;0.0;0.0;0.19469026548672566;0.13812154696132595;0.12121212121212122;0.03125;0.07142857142857142;0.0;0.06832298136645962;0.15086206896551724;0.047619047619047616;0.11333333333333334;0.03125;0.12280701754385964;0.24489795918367346;0.03508771929824561;0.057142857142857155;0.17763157894736842;0.17391304347826086;0.08333333333333333;0.1;0.032520325203252036;0.12539184952978058;0.1607142857142857;0.08;0.0;0.0;0.05555555555555555;0.12935323383084577
0.08119658119658121;1.0;0.0;0.1327433628318584;0.03867403314917127;0.10606060606060606;0.03125;0.14285714285714285;0.06060606060606061;0.049689440993788817;0.09051724137931035;0.015873015873015872;0.03333333333333333;0.15625;0.07017543859649122;0.02040816326530612;0.15789473684210525;0.12380952380952384;0.09210526315789475;0.043478260869565216;0.25;0.05;0.016260162601626018;0.04388714733542319;0.10714285714285714;0.12;0.15789473684210525;0.125;0.027777777777777776;0.062189054726368154
0.12393162393162396;1.0;0.0;0.19469026548672566;0.2154696132596685;0.19696969696969696;0.15625;0.2857142857142857;0.18181818181818182;0.11801242236024843;0.29310344827586204;0.031746031746031744;0.14666666666666667;0.1875;0.2631578947368421;0.1020408163265306;0.10526315789473684;0.1904761904761905;0.256578947368421;0.10869565217391304;0.2777777777777778;0.2833333333333333;0.0813008130081301;0.15673981191222572;0.29464285714285715;0.28;0.3421052631578947;0.0625;0.23148148148148145;0.1691542288557214
0.19230769230769235;1.0;0.0;0.21238938053097345;0.3701657458563536;0.33333333333333337;0.03125;0.0;0.0;0.16770186335403725;0.43103448275862066;0.031746031746031744;0.2066666666666667;0.1875;0.3508771929824561;0.2040816326530612;0.22807017543859648;0.3523809523809524;0.381578947368421;0.2934782608695652;0.3611111111111111;0.16666666666666666;0.0813008130081301;0.31034482758620685;0.3571428571428571;0.28;0.10526315789473684;0.125;0.37037037037037035;0.27114427860696516
0.11538461538461539;1.0;0.0;0.12389380530973451;0.2099447513812155;0.10606060606060606;0.0;0.0;0.0;0.10559006211180123;0.25;0.015873015873015872;0.07333333333333333;0.125;0.05263157894736842;0.061224489795918366;0.10526315789473684;0.14285714285714288;0.19736842105263158;0.11956521739130435;0.1111111111111111;0.13333333333333333;0.06504065040650407;0.16927899686520376;0.1875;0.04;0.13157894736842105;0.0;0.10185185185185185;0.15422885572139303
0.08974358974358976;0.0;1.0;0.07079646017699115;0.09392265193370165;0.19696969696969696;0.09375;0.21428571428571427;0.030303030303030304;0.06211180124223602;0.1896551724137931;0.0;0.04;0.125;0.07017543859649122;0.061224489795918366;0.24561403508771928;0.13333333333333336;0.11842105263157895;0.05434782608695652;0.16666666666666666;0.11666666666666667;0.10569105691056911;0.10658307210031347;0.11607142857142856;0.14;0.10526315789473684;0.0;0.23148148148148145;0.062189054726368154
0.23504273504273507;1.0;1.0;0.16814159292035397;0.22099447513812154;0.2272727272727273;0.25;0.07142857142857142;0.0;0.19254658385093165;0.3879310344827586;0.07936507936507936;0.1;0.34375;0.3157894736842105;0.061224489795918366;0.2631578947368421;0.2285714285714286;0.19736842105263158;0.15217391304347827;0.1388888888888889;0.2833333333333333;0.14634146341463417;0.22884012539184953;0.375;0.06;0.21052631578947367;0.1875;0.23148148148148145;0.22139303482587064
0.2606837606837607;1.0;1.0;0.035398230088495575;0.07734806629834254;0.18181818181818182;0.09375;0.07142857142857142;0.0;0.06832298136645962;0.16810344827586207;0.031746031746031744;0.006666666666666667;0.15625;0.12280701754385964;0.0;0.14035087719298245;0.1142857142857143;0.13157894736842105;0.07608695652173914;0.05555555555555555;0.06666666666666667;0.04878048780487805;0.08463949843260188;0.2232142857142857;0.04;0.02631578947368421;0.0;0.1111111111111111;0.0945273631840796
0.047008547008547015;1.0;1.0;0.02654867256637168;0.11049723756906077;0.045454545454545456;0.03125;0.0;0.0;0.037267080745341616;0.10775862068965517;0.047619047619047616;0.02;0.0625;0.05263157894736842;0.08163265306122448;0.10526315789473684;0.1523809523809524;0.07236842105263158;0.05434782608695652;0.027777777777777776;0.13333333333333333;0.04065040650406505;0.07836990595611285;0.05357142857142857;0.02;0.05263157894736842;0.0;0.046296296296296294;0.05721393034825871
0.10256410256410259;1.0;1.0;0.035398230088495575;0.06629834254143646;0.030303030303030304;0.125;0.14285714285714285;0.030303030303030304;0.018633540372670808;0.09482758620689655;0.0;0.0;0.1875;0.08771929824561403;0.04081632653061224;0.05263157894736842;0.06666666666666668;0.06578947368421054;0.03260869565217391;0.08333333333333333;0.08333333333333333;0.04065040650406505;0.04388714733542319;0.09821428571428571;0.04;0.07894736842105263;0.0625;0.09259259259259259;0.03233830845771144
0.07264957264957267;1.0;1.0;0.11504424778761062;0.15469613259668508;0.09090909090909091;0.09375;0.0;0.0;0.05590062111801242;0.22413793103448276;0.015873015873015872;0.02666666666666667;0.3125;0.14035087719298245;0.04081632653061224;0.2807017543859649;0.1523809523809524;0.08552631578947367;0.06521739130434782;0.3055555555555555;0.2;0.0975609756097561;0.13793103448275862;0.125;0.04;0.02631578947368421;0.0;0.18518518518518517;0.08955223880597014
0.0854700854700855;0.0;1.0;0.04424778761061947;0.03867403314917127;0.09090909090909091;0.03125;0.07142857142857142;0.0;0.037267080745341616;0.08189655172413793;0.0;0.0;0.0625;0.07017543859649122;0.02040816326530612;0.05263157894736842;0.0761904761904762;0.039473684210526314;0.03260869565217391;0.08333333333333333;0.06666666666666667;0.024390243902439025;0.04075235109717868;0.0625;0.04;0.02631578947368421;0.0;0.10185185185185185;0.017412935323383085
0.07264957264957267;0.0;0.0;0.23893805309734512;0.287292817679558;0.07575757575757576;0.03125;0.0;0.0;0.2546583850931677;0.11206896551724138;0.2698412698412698;0.30000000000000004;0.0;0.10526315789473684;0.6530612244897959;0.05263157894736842;0.09523809523809526;0.30921052631578944;0.21739130434782608;0.05555555555555555;0.08333333333333333;0.032520325203252036;0.2476489028213166;0.09821428571428571;0.06;0.13157894736842105;0.0;0.08333333333333333;0.19900497512437812
0.16666666666666669;0.0;0.0;0.16814159292035397;0.3756906077348066;0.07575757575757576;0.0;0.0;0.0;0.24223602484472048;0.28448275862068967;0.14285714285714285;0.16;0.09375;0.21052631578947367;0.14285714285714285;0.12280701754385964;0.24761904761904766;0.3157894736842105;0.25;0.19444444444444442;0.13333333333333333;0.04065040650406505;0.2946708463949843;0.2232142857142857;0.1;0.07894736842105263;0.0625;0.12962962962962962;0.263681592039801
0.30341880341880345;1.0;1.0;0.17699115044247787;0.2099447513812155;0.3181818181818182;0.28125;0.2857142857142857;0.24242424242424243;0.18012422360248445;0.3146551724137931;0.047619047619047616;0.1;0.25;0.3508771929824561;0.1020408163265306;0.3157894736842105;0.2285714285714286;0.19078947368421054;0.17391304347826086;0.25;0.31666666666666665;0.1869918699186992;0.17868338557993732;0.29464285714285715;0.38;0.5789473684210527;0.25;0.35185185185185186;0.16666666666666666
0.15811965811965814;0.0;0.0;0.25663716814159293;0.34806629834254144;0.2272727272727273;0.09375;0.0;0.030303030303030304;0.2546583850931677;0.2629310344827586;0.12698412698412698;0.2;0.1875;0.17543859649122806;0.24489795918367346;0.2807017543859649;0.26666666666666666;0.30921052631578944;0.2717391304347826;0.16666666666666666;0.16666666666666666;0.07317073170731708;0.2789968652037617;0.2857142857142857;0.3;0.21052631578947367;0.125;0.15740740740740738;0.2860696517412935
0.12393162393162396;0.0;1.0;0.035398230088495575;0.04419889502762431;0.13636363636363635;0.15625;0.21428571428571427;0.030303030303030304;0.06211180124223602;0.10775862068965517;0.0;0.013333333333333334;0.1875;0.17543859649122806;0.061224489795918366;0.05263157894736842;0.08571428571428572;0.05921052631578947;0.043478260869565216;0.08333333333333333;0.16666666666666666;0.0975609756097561;0.05956112852664576;0.08928571428571427;0.22;0.15789473684210525;0.25;0.07407407407407407;0.06965174129353234
0.2606837606837607;1.0;1.0;0.07079646017699115;0.14917127071823205;0.13636363636363635;0.15625;0.21428571428571427;0.2727272727272727;0.12422360248447203;0.1896551724137931;0.047619047619047616;0.08666666666666667;0.125;0.15789473684210525;0.061224489795918366;0.08771929824561403;0.18095238095238098;0.07894736842105263;0.06521739130434782;0.05555555555555555;0.15;0.17073170731707318;0.1128526645768025;0.25;0.16;0.2894736842105263;0.25;0.19444444444444442;0.11691542288557213
0.09401709401709404;0.0;0.0;0.3893805309734513;0.6574585635359116;0.21212121212121213;0.09375;0.0;0.0;0.6211180124223602;0.25;0.5714285714285714;0.54;0.1875;0.22807017543859648;0.9999999999999999;0.12280701754385964;0.3238095238095238;0.4605263157894736;0.6195652173913043;0.1111111111111111;0.18333333333333332;0.07317073170731708;0.5109717868338558;0.36607142857142855;0.16;0.2631578947368421;0.0625;0.15740740740740738;0.47512437810945274
0.21367521367521372;1.0;0.0;0.16814159292035397;0.27071823204419887;0.19696969696969696;0.28125;0.07142857142857142;0.06060606060606061;0.13043478260869565;0.40086206896551724;0.015873015873015872;0.11333333333333334;0.21875;0.19298245614035087;0.0;0.3508771929824561;0.2857142857142857;0.24342105263157895;0.17391304347826086;0.3611111111111111;0.1;0.0975609756097561;0.219435736677116;0.3214285714285714;0.18;0.07894736842105263;0.0625;0.37037037037037035;0.17661691542288557
0.10683760683760685;0.0;0.0;0.3893805309734513;0.47513812154696133;0.18181818181818182;0.125;0.0;0.0;0.2670807453416149;0.3146551724137931;0.12698412698412698;0.32666666666666666;0.0625;0.24561403508771928;0.4897959183673469;0.15789473684210525;0.12380952380952384;0.3881578947368421;0.18478260869565216;0.1388888888888889;0.08333333333333333;0.11382113821138212;0.3730407523510971;0.21428571428571427;0.18;0.07894736842105263;0.0625;0.25;0.3009950248756219
0.11111111111111113;0.0;1.0;0.008849557522123894;0.0055248618784530384;0.030303030303030304;0.09375;0.07142857142857142;0.030303030303030304;0.018633540372670808;0.05172413793103448;0.0;0.0;0.0625;0.03508771929824561;0.0;0.05263157894736842;0.01904761904761905;0.013157894736842105;0.010869565217391304;0.027777777777777776;0.03333333333333333;0.008130081300813009;0.012539184952978056;0.0625;0.02;0.07894736842105263;0.0625;0.046296296296296294;0.00746268656716418
0.22222222222222224;1.0;1.0;0.07079646017699115;0.07734806629834254;0.15151515151515152;0.21875;0.14285714285714285;0.06060606060606061;0.037267080745341616;0.1810344827586207;0.0;0.013333333333333334;0.0625;0.19298245614035087;0.0;0.19298245614035087;0.20952380952380956;0.125;0.06521739130434782;0.25;0.18333333333333332;0.05691056910569106;0.07210031347962383;0.1875;0.2;0.13157894736842105;0.125;0.19444444444444442;0.07213930348258707
0.2692307692307692;1.0;0.0;0.2654867256637168;0.2983425414364641;0.48484848484848486;0.5625;0.5;0.2727272727272727;0.17391304347826086;0.5517241379310345;0.06349206349206349;0.29333333333333333;0.34375;0.5438596491228069;0.1020408163265306;0.47368421052631576;0.5904761904761906;0.3355263157894736;0.2608695652173913;0.38888888888888884;0.31666666666666665;0.24390243902439027;0.2789968652037617;0.6160714285714285;0.6;0.42105263157894735;0.6875;0.4907407407407407;0.32587064676616917
0.10683760683760685;1.0;0.0;0.30973451327433627;0.287292817679558;0.15151515151515152;0.09375;0.14285714285714285;0.18181818181818182;0.21739130434782608;0.4568965517241379;0.07936507936507936;0.16666666666666669;0.25;0.21052631578947367;0.24489795918367346;0.2982456140350877;0.3333333333333333;0.36184210526315785;0.19565217391304346;0.3055555555555555;0.23333333333333334;0.13008130081300814;0.2915360501567398;0.3214285714285714;0.2;0.2894736842105263;0.1875;0.34259259259259256;0.24378109452736318
0.12820512820512822;1.0;1.0;0.02654867256637168;0.04419889502762431;0.18181818181818182;0.09375;0.0;0.030303030303030304;0.043478260869565216;0.09482758620689655;0.0;0.03333333333333333;0.0625;0.07017543859649122;0.061224489795918366;0.03508771929824561;0.0380952380952381;0.05921052631578947;0.043478260869565216;0.19444444444444442;0.06666666666666667;0.05691056910569106;0.06269592476489028;0.08035714285714285;0.1;0.07894736842105263;0.125;0.12962962962962962;0.03980099502487562
