CO_MUNICIPIO;IN_BIBLIOTECA_SALA_LEITURA;IN_REFEITORIO;IN_EQUIP_IMPRESSORA;NU_EQUIP_COPIADORA;NU_EQUIP_FOTO;IN_MATERIAL_ESP_NAO_UTILIZA;IN_EJA;IN_PROFISSIONALIZANTE;TX_RESP_Q004_C;TX_RESP_Q004_E;TX_RESP_Q005_A;TX_RESP_Q019_F;TX_RESP_Q027_B;TX_RESP_Q036_C;TX_RESP_Q036_E;TX_RESP_Q037_D;TX_RESP_Q039_D;TX_RESP_Q042_B;TX_RESP_Q043_A
0.009056649647448012;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0055248618784530384;0.10606060606060606;0.21739130434782608;0.02040816326530612;0.3333333333333333;0.010869565217391304;0.08333333333333333;0.1;0.13333333333333333;0.05263157894736842;0.12037037037037036
0.009056649647448012;1.0;1.0;1.0;0.6000000000000001;0.0;1.0;0.0;0.0;0.23204419889502764;0.030303030303030304;0.17391304347826086;0.16326530612244897;0.0;0.15217391304347827;0.16666666666666666;0.11666666666666667;0.06666666666666667;0.02631578947368421;0.18518518518518517
0.015074155117901;1.0;0.0;0.0;0.0;0.07692307692307693;1.0;1.0;1.0;0.4530386740331492;0.2878787878787879;0.34782608695652173;0.08163265306122448;0.13333333333333333;0.42391304347826086;0.38888888888888884;0.3333333333333333;0.06666666666666667;0.18421052631578946;0.25925925925925924
0.02109166058838241;1.0;1.0;1.0;0.0;0.07692307692307693;1.0;1.0;1.0;0.4917127071823204;0.3939393939393939;0.13043478260869565;0.22448979591836732;0.4;0.40217391304347827;0.3055555555555555;0.13333333333333333;0.4;0.21052631578947367;0.4722222222222222
0.02109166058838241;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.11049723756906077;0.10606060606060606;0.08695652173913043;0.08163265306122448;0.0;0.06521739130434782;0.1111111111111111;0.08333333333333333;0.3333333333333333;0.13157894736842105;0.1111111111111111
0.0271091660588354;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.27624309392265195;0.7575757575757576;0.43478260869565216;0.18367346938775508;0.26666666666666666;0.40217391304347827;0.3333333333333333;0.6333333333333333;0.9333333333333333;0.5;0.5
0.0271091660588354;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.19889502762430938;0.13636363636363635;0.043478260869565216;0.3061224489795918;0.2;0.14130434782608695;0.1111111111111111;0.15;0.06666666666666667;0.10526315789473684;0.12962962962962962
0.03373450036468739;1.0;0.0;1.0;0.4;0.15384615384615385;1.0;0.0;0.0;0.18784530386740333;0.18181818181818182;0.0;0.18367346938775508;0.0;0.14130434782608695;0.1388888888888889;0.16666666666666666;0.13333333333333333;0.18421052631578946;0.24074074074074073
0.03975200583514038;1.0;0.0;1.0;0.0;0.23076923076923078;1.0;0.0;0.0;0.32044198895027626;0.16666666666666669;0.043478260869565216;0.24489795918367346;0.0;0.2608695652173913;0.027777777777777776;0.08333333333333333;0.06666666666666667;0.18421052631578946;0.12962962962962962
0.03975200583514038;1.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.016574585635359115;0.015151515151515152;0.043478260869565216;0.0;0.0;0.0;0.05555555555555555;0.016666666666666666;0.0;0.02631578947368421;0.027777777777777776
