IN_COMUM_FUND_AF;TX_RESP_Q036_C;TX_RESP_Q037_D;TX_RESP_Q041_B;TX_RESP_Q060_B
0.0;0.09782608695652173;0.1;0.16964285714285712;0.13043478260869565
0.0;0.46739130434782605;0.1;0.21428571428571427;0.391304347826087
0.0;0.08695652173913043;0.06666666666666667;0.15178571428571427;0.05652173913043478
0.0;0.32608695652173914;0.08333333333333333;0.26785714285714285;0.28260869565217395
0.0;0.40217391304347827;0.18333333333333332;0.3571428571428571;0.2782608695652174
0.0;0.17391304347826086;0.1;0.13392857142857142;0.14347826086956522
0.0;0.16304347826086957;0.016666666666666666;0.10714285714285714;0.04782608695652174
0.0;0.22826086956521738;0.26666666666666666;0.33928571428571425;0.06521739130434782
1.0;0.08695652173913043;0.08333333333333333;0.09821428571428571;0.043478260869565216
0.0;0.31521739130434784;0.3333333333333333;0.27678571428571425;0.42608695652173917
1.0;0.10869565217391304;0.06666666666666667;0.10714285714285714;0.07391304347826087
1.0;0.31521739130434784;0.35;0.24107142857142855;0.07826086956521738
1.0;0.25;0.08333333333333333;0.13392857142857142;0.20869565217391303
0.0;0.22826086956521738;0.21666666666666667;0.05357142857142857;0.2956521739130435
1.0;0.15217391304347827;0.2833333333333333;0.24107142857142855;0.0608695652173913
0.0;0.4782608695652174;0.08333333333333333;0.14285714285714285;0.37826086956521743
1.0;0.16304347826086957;0.13333333333333333;0.16964285714285712;0.08695652173913043
0.0;0.30434782608695654;0.15;0.09821428571428571;0.17391304347826086
0.0;0.17391304347826086;0.05;0.07142857142857142;0.1565217391304348
0.0;0.06521739130434782;0.05;0.17857142857142855;0.15217391304347827
1.0;0.2934782608695652;0.3833333333333333;0.36607142857142855;0.09565217391304348
0.0;0.31521739130434784;0.15;0.24107142857142855;0.2739130434782609
0.0;0.2391304347826087;0.2;0.19642857142857142;0.28260869565217395
0.0;0.2717391304347826;0.25;0.4107142857142857;0.3086956521739131
1.0;0.18478260869565216;0.18333333333333332;0.4464285714285714;0.19130434782608696
0.0;0.2934782608695652;0.43333333333333335;0.5535714285714285;0.31739130434782614
0.0;0.25;0.1;0.13392857142857142;0.16956521739130434
1.0;0.20652173913043478;0.36666666666666664;0.33928571428571425;0.26521739130434785
0.0;0.11956521739130435;0.1;0.20535714285714285;0.2391304347826087
0.0;0.22826086956521738;0.11666666666666667;0.30357142857142855;0.1826086956521739
0.0;0.2934782608695652;0.2;0.1607142857142857;0.30000000000000004
1.0;0.010869565217391304;0.05;0.05357142857142857;0.008695652173913045
0.0;0.18478260869565216;0.16666666666666666;0.27678571428571425;0.20869565217391303
0.0;0.14130434782608695;0.3833333333333333;0.4375;0.24347826086956523
0.0;0.18478260869565216;0.1;0.29464285714285715;0.1782608695652174
0.0;0.18478260869565216;0.11666666666666667;0.16964285714285712;0.21304347826086956
0.0;0.22826086956521738;0.1;0.15178571428571427;0.2695652173913044
0.0;0.22826086956521738;0.25;0.3482142857142857;0.30000000000000004
0.0;0.20652173913043478;0.21666666666666667;0.40178571428571425;0.3304347826086957
0.0;0.2608695652173913;0.3333333333333333;0.33928571428571425;0.20869565217391303
0.0;0.07608695652173914;0.1;0.125;0.1608695652173913
0.0;0.17391304347826086;0.1;0.26785714285714285;0.2565217391304348
0.0;0.043478260869565216;0.0;0.04464285714285714;0.017391304347826087
0.0;0.21739130434782608;0.016666666666666666;0.11607142857142856;0.2
0.0;0.19565217391304346;0.3833333333333333;0.5267857142857143;0.3478260869565218
1.0;0.2826086956521739;0.16666666666666666;0.3482142857142857;0.3826086956521739
0.0;0.18478260869565216;0.1;0.21428571428571427;0.2739130434782609
